ARABIAN FORCE (IRE) (Rank: 112 | Flat Rating: 110 | Year: 2022 | Sex: COLT | Sire: LOPE DE VEGA (IRE) | Dam: OCTOBER QUEEN (IRE) | Trainer: William Haggas)
ART POWER (IRE) (Rank: 113 | Flat Rating: 110 | AWT Rating: 105 | Year: 2017 | Sex: GELDING | Sire: DARK ANGEL (IRE) | Dam: EVENING TIME (IRE) | Trainer: Tim Easterby)
AZANIYA (IRE) (Rank: 114 | Flat Rating: 110 | Year: 2022 | Sex: FILLY | Sire: NIGHT OF THUNDER (IRE) | Dam: AZANARA (IRE) | Trainer: Owen Burrows)
BECKFORD'S FOLLY (IRE) (Rank: 115 | Flat Rating: 110 | Year: 2023 | Sex: GELDING | Sire: LOPE DE VEGA (IRE) | Dam: FONTHILL ABBEY (IRE) | Trainer: Charlie Appleby)
BELLUM JUSTUM (IRE) (Rank: 116 | Flat Rating: 110 | Year: 2021 | Sex: COLT | Sire: SEA THE STARS (IRE) | Dam: NATURAL BEAUTY (GB) | Trainer: Andrew Balding)
BLUE BOLT (IRE) (Rank: 117 | Flat Rating: 110 | Year: 2022 | Sex: FILLY | Sire: BLUE POINT (IRE) | Dam: MAYHEM (IRE) | Trainer: Andrew Balding)
COLTRANE (IRE) (Rank: 118 | Flat Rating: 110 | Year: 2017 | Sex: GELDING | Sire: MASTERCRAFTSMAN (IRE) | Dam: PROMISE ME (IRE) | Trainer: Andrew Balding)
COPPULL (GB) (Rank: 119 | Flat Rating: 110 | Year: 2023 | Sex: COLT | Sire: BATED BREATH (GB) | Dam: SPRINGWOOD DRIVE (GB) | Trainer: Clive Cox)
ENFJAAR (IRE) (Rank: 120 | Flat Rating: 110 | Year: 2020 | Sex: GELDING | Sire: LOPE DE VEGA (IRE) | Dam: TESORO (IRE) | Trainer: Roger Varian)
GREAT GENERATION (IRE) (Rank: 121 | Flat Rating: 110 | Year: 2021 | Sex: FILLY | Sire: HOLY ROMAN EMPEROR (IRE) | Dam: ADUTCHGIRL (GER) | Trainer: )
HOLGUIN (GB) (Rank: 122 | Flat Rating: 110 | Year: 2020 | Sex: GELDING | Sire: HAVANA GREY (GB) | Dam: ROXIE LOT (GB) | Trainer: Hamad Al Jehani)
KING OF CITIES (IRE) (Rank: 123 | Flat Rating: 110 | Year: 2022 | Sex: COLT | Sire: DUBAWI (IRE) | Dam: AJMAN PRINCESS (IRE) | Trainer: K. R. Burke)
LADY OF SPAIN (IRE) (Rank: 124 | Flat Rating: 110 | Year: 2021 | Sex: FILLY | Sire: PHOENIX OF SPAIN (IRE) | Dam: NAVETTE (IRE) | Trainer: )
MORRIS DANCER (IRE) (Rank: 125 | Flat Rating: 110 | Year: 2023 | Sex: COLT | Sire: PALACE PIER (GB) | Dam: MENUETTO (GB) | Trainer: John & Thady Gosden)
NAHRAAN (GB) (Rank: 126 | Flat Rating: 110 | Year: 2022 | Sex: COLT | Sire: MAKE BELIEVE (GB) | Dam: FIRST KINGDOM (IRE) | Trainer: John & Thady Gosden)
NAKHEEL (FR) (Rank: 127 | Flat Rating: 110 | Year: 2021 | Sex: FILLY | Sire: DUBAWI (IRE) | Dam: INTO THE MYSTIC (IRE) | Trainer: )
NAQEEB (IRE) (Rank: 128 | Flat Rating: 110 | Year: 2020 | Sex: GELDING | Sire: NATHANIEL (IRE) | Dam: AGHAREED (USA) | Trainer: Julie Camacho)
NATIVE WARRIOR (GB) (Rank: 129 | Flat Rating: 110 | Year: 2021 | Sex: GELDING | Sire: WOOTTON BASSETT (GB) | Dam: BEAUTY SALON (GB) | Trainer: K. R. Burke)
PUBLISH (GB) (Rank: 130 | Flat Rating: 110 | Year: 2023 | Sex: COLT | Sire: KINGMAN (GB) | Dam: NAY LADY NAY (IRE) | Trainer: John & Thady Gosden)
ROCK ON THUNDER (IRE) (Rank: 131 | Flat Rating: 110 | Year: 2023 | Sex: COLT | Sire: NIGHT OF THUNDER (IRE) | Dam: BOSTON ROCKER (IRE) | Trainer: Kevin Ryan)
RUMSTAR (GB) (Rank: 132 | Flat Rating: 110 | Year: 2020 | Sex: GELDING | Sire: HAVANA GREY (GB) | Dam: STELLARTA (GB) | Trainer: Jonathan Portman)
RUNNING LION (GB) (Rank: 133 | Flat Rating: 110 | Year: 2020 | Sex: FILLY | Sire: ROARING LION (USA) | Dam: BELLA NOUF (GB) | Trainer: )
SPACE LEGEND (IRE) (Rank: 134 | Flat Rating: 110 | Year: 2021 | Sex: GELDING | Sire: SEA THE STARS (IRE) | Dam: NEWTON'S ANGEL (IRE) | Trainer: )
ALYANAABI (IRE) (Rank: 135 | Flat Rating: 109 | Year: 2021 | Sex: GELDING | Sire: TOO DARN HOT (GB) | Dam: ALYAMAAMA (USA) | Trainer: Owen Burrows)
CAPE ORATOR (IRE) (Rank: 136 | Flat Rating: 109 | Year: 2023 | Sex: COLT | Sire: MOHAATHER (GB) | Dam: MOUILLE POINT (GB) | Trainer: Ralph Beckett)
