Irish Horses Flat (2025 and 2024)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Filey Bay (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 66000 | Place Money: 2000 | Total Prize Money: 68000)
Fiona MacCoul (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 72000 | Place Money: 2750 | Total Prize Money: 74750)
Green Triangle (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 1 | Win Money: 110000 | Place Money: 5400 | Total Prize Money: 115400)
Orandi (FR) (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 60000 | Place Money: 12000 | Total Prize Money: 72000)
Sumiha (Runs: 4 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 36000 | Place Money: 24000 | Total Prize Money: 60000)
True Love (Runs: 4 | 1st: 1 | 2nd: 3 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 83600 | Total Prize Money: 155600)
Wemightakedlongway (Runs: 4 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 39000 | Place Money: 116800 | Total Prize Money: 155800)
A Piece Of Heaven (FR) (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 12600 | Place Money: 125500 | Total Prize Money: 138100)
Beautify (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 72000 | Place Money: 82000 | Total Prize Money: 154000)
Comfort Zone (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 9000 | Total Prize Money: 69000)
Grosvenor Square (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 33000 | Place Money: 42500 | Total Prize Money: 75500)
Lightning Bear (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 15000 | Place Money: 51800 | Total Prize Money: 66800)
Nans View (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 66000 | Place Money: 2600 | Total Prize Money: 68600)
Sirius (FR) (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 66000 | Place Money: 5500 | Total Prize Money: 71500)
This Songisforyou (USA) (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 90000 | Place Money: 12000 | Total Prize Money: 102000)
Whistlejacket (Runs: 3 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 24000 | Place Money: 74000 | Total Prize Money: 98000)
A Lilac Rolla (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 33000 | Place Money: 100000 | Total Prize Money: 133000)
Believing (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 80000 | Total Prize Money: 152000)
Fallen Angel (GB) (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 290000 | Place Money: 80000 | Total Prize Money: 370000)
Gstaad (GB) (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 10800 | Place Money: 80000 | Total Prize Money: 90800)
Kings Time (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 60000 | Place Money: 0 | Total Prize Money: 60000)
Lambourn (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 725000 | Place Money: 12000 | Total Prize Money: 737000)
Puturhandstogether (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 330000 | Place Money: 2200 | Total Prize Money: 332200)
Rahmi (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 90000 | Place Money: 2250 | Total Prize Money: 92250)
Serious Contender (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 15000 | Place Money: 250000 | Total Prize Money: 265000)
Whirl (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 180000 | Place Money: 1370 | Total Prize Money: 181370)
Alparslan (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 138000 | Place Money: 0 | Total Prize Money: 138000)
Bluestocking (GB) (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 180000 | Place Money: 0 | Total Prize Money: 180000)
Bolo Neighs (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 250000 | Place Money: 0 | Total Prize Money: 250000)
Bradsell (GB) (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 240000 | Place Money: 0 | Total Prize Money: 240000)
Economics (GB) (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 725000 | Place Money: 0 | Total Prize Money: 725000)
Field Of Gold (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 290000 | Place Money: 0 | Total Prize Money: 290000)
James's Delight (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 0 | Total Prize Money: 72000)
Minnie Hauk (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 290000 | Place Money: 0 | Total Prize Money: 290000)
Mitbaahy (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 0 | Total Prize Money: 72000)
Ocean Jewel (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 0 | Total Prize Money: 72000)
Poet Master (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 0 | Total Prize Money: 72000)
Porta Fortuna (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 240000 | Place Money: 0 | Total Prize Money: 240000)
Rosallion (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 290000 | Place Money: 0 | Total Prize Money: 290000)
Spirit d'Or (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 138000 | Place Money: 0 | Total Prize Money: 138000)
Tower Of London (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 90000 | Place Money: 0 | Total Prize Money: 90000)
You Got To Me (GB) (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 290000 | Place Money: 0 | Total Prize Money: 290000)
Zavateri (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 240000 | Place Money: 0 | Total Prize Money: 240000)
Island Hopping (Runs: 8 | 1st: 0 | 2nd: 1 | 3rd: 4 | 4th: 0 | Win Money: 0 | Place Money: 82350 | Total Prize Money: 82350)
California Dreamer (GB) (Runs: 5 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 0 | Place Money: 103375 | Total Prize Money: 103375)
Celtic Motif (Runs: 4 | 1st: 0 | 2nd: 0 | 3rd: 3 | 4th: 1 | Win Money: 0 | Place Money: 108450 | Total Prize Money: 108450)
Cercene (Runs: 4 | 1st: 0 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 0 | Place Money: 81500 | Total Prize Money: 81500)
Queenstown (Runs: 4 | 1st: 0 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 0 | Place Money: 73300 | Total Prize Money: 73300)
