Irish Trainers Stats National Hunt (Jumps) (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Gavin Cromwell (Runs: 710 | 1st: 85 | 2nd: 80 | 3rd: 68 | 4th: 61 | Win Money: 1309300 | Place Money: 715425 | Total Prize Money: 2024725)
Joseph Patrick O'Brien (Runs: 186 | 1st: 40 | 2nd: 32 | 3rd: 24 | 4th: 18 | Win Money: 837300 | Place Money: 280975 | Total Prize Money: 1118275)
P.J. Rothwell (Runs: 558 | 1st: 38 | 2nd: 51 | 3rd: 50 | 4th: 43 | Win Money: 293700 | Place Money: 280045 | Total Prize Money: 573745)
Declan Queally (Runs: 192 | 1st: 25 | 2nd: 21 | 3rd: 28 | 4th: 20 | Win Money: 260100 | Place Money: 166615 | Total Prize Money: 426715)
Paul Nolan (Runs: 239 | 1st: 24 | 2nd: 24 | 3rd: 24 | 4th: 24 | Win Money: 266100 | Place Money: 180155 | Total Prize Money: 446255)
John Patrick Ryan (Runs: 311 | 1st: 23 | 2nd: 28 | 3rd: 27 | 4th: 35 | Win Money: 220500 | Place Money: 211800 | Total Prize Money: 432300)
Ross O'Sullivan (Runs: 199 | 1st: 22 | 2nd: 23 | 3rd: 21 | 4th: 30 | Win Money: 268200 | Place Money: 159175 | Total Prize Money: 427375)
John C. McConnell (Runs: 311 | 1st: 22 | 2nd: 40 | 3rd: 17 | 4th: 26 | Win Money: 149700 | Place Money: 155450 | Total Prize Money: 305150)
C.Byrnes (Runs: 198 | 1st: 22 | 2nd: 13 | 3rd: 20 | 4th: 13 | Win Money: 163200 | Place Money: 87520 | Total Prize Money: 250720)
Noel Meade (Runs: 131 | 1st: 18 | 2nd: 18 | 3rd: 19 | 4th: 10 | Win Money: 393900 | Place Money: 201105 | Total Prize Money: 595005)
Emmet Mullins (Runs: 120 | 1st: 18 | 2nd: 21 | 3rd: 11 | 4th: 8 | Win Money: 338100 | Place Money: 145045 | Total Prize Money: 483145)
E. McNamara (Runs: 147 | 1st: 18 | 2nd: 19 | 3rd: 11 | 4th: 11 | Win Money: 234600 | Place Money: 83115 | Total Prize Money: 317715)
Cian Collins (Runs: 248 | 1st: 17 | 2nd: 19 | 3rd: 20 | 4th: 24 | Win Money: 124500 | Place Money: 126100 | Total Prize Money: 250600)
J.P.Dempsey (Runs: 109 | 1st: 15 | 2nd: 10 | 3rd: 6 | 4th: 9 | Win Money: 141600 | Place Money: 51035 | Total Prize Money: 192635)
Philip Fenton (Runs: 134 | 1st: 15 | 2nd: 9 | 3rd: 11 | 4th: 12 | Win Money: 137100 | Place Money: 53905 | Total Prize Money: 191005)
Noel C. Kelly (Runs: 124 | 1st: 14 | 2nd: 8 | 3rd: 4 | 4th: 8 | Win Money: 91200 | Place Money: 30095 | Total Prize Money: 121295)
Oliver McKiernan (Runs: 133 | 1st: 12 | 2nd: 15 | 3rd: 4 | 4th: 11 | Win Money: 138900 | Place Money: 72185 | Total Prize Money: 211085)
Mark Fahey (Runs: 69 | 1st: 12 | 2nd: 5 | 3rd: 8 | 4th: 6 | Win Money: 145800 | Place Money: 43255 | Total Prize Money: 189055)
